time_sec,baseline_retention,baseline_std
1123,64.36,11.21
1124,64.34,11.2
1125,64.32,11.2
1126,64.3,11.19
1127,64.28,11.19
1128,64.26,11.19
1129,64.25,11.18
1130,64.23,11.17
1131,64.21,11.17
1132,64.2,11.16
1133,64.18,11.16
1134,64.16,11.15
1135,64.14,11.15
1136,64.13,11.15
1137,64.11,11.14
1138,64.09,11.14
1139,64.08,11.13
1140,64.06,11.13
1141,64.05,11.13
1142,64.04,11.13
1143,64.03,11.13
1144,64.02,11.13
1145,64.01,11.12
1146,64.0,11.12
1147,63.99,11.12
1148,63.98,11.12
1149,63.97,11.12
1150,63.96,11.12
1151,63.95,11.12
1152,63.94,11.12
1153,63.93,11.13
1154,63.92,11.13
1155,63.91,11.13
1156,63.9,11.13
1157,63.89,11.13
1158,63.88,11.13
1159,63.87,11.14
1160,63.85,11.14
1161,63.84,11.13
1162,63.83,11.13
1163,63.81,11.13
1164,63.8,11.12
1165,63.78,11.12
1166,63.76,11.12
1167,63.75,11.12
1168,63.73,11.12
1169,63.71,11.12
1170,63.7,11.12
1171,63.68,11.11
1172,63.66,11.11
1173,63.65,11.11
1174,63.63,11.11
1175,63.62,11.11
1176,63.6,11.11
1177,63.58,11.11
1178,63.57,11.11
1179,63.55,11.11
1180,63.53,11.1
1181,63.51,11.1
1182,63.49,11.1
1183,63.47,11.1
1184,63.45,11.09
1185,63.43,11.09
1186,63.4,11.09
1187,63.38,11.08
1188,63.36,11.08
1189,63.34,11.08
1190,63.32,11.08
1191,63.3,11.07
1192,63.28,11.07
1193,63.25,11.07
1194,63.23,11.07
1195,63.21,11.07
1196,63.19,11.07
1197,63.16,11.07
1198,63.14,11.07
1199,63.12,11.07
1200,63.1,11.07
1201,63.07,11.07
1202,63.05,11.08
1203,63.02,11.08
1204,63.0,11.08
1205,62.98,11.08
1206,62.95,11.09
1207,62.93,11.09
1208,62.91,11.09
1209,62.88,11.1
1210,62.86,11.1
1211,62.84,11.1
1212,62.81,11.11
1213,62.79,11.11
1214,62.77,11.11
1215,62.74,11.12
1216,62.72,11.12
1217,62.7,11.12
1218,62.67,11.13
1219,62.66,11.13
1220,62.64,11.13
1221,62.63,11.13
1222,62.62,11.13
1223,62.61,11.14
1224,62.6,11.14
1225,62.59,11.14
1226,62.58,11.14
1227,62.57,11.15
1228,62.56,11.15
1229,62.55,11.15
1230,62.54,11.16
1231,62.53,11.16
1232,62.51,11.16
1233,62.5,11.17
1234,62.49,11.17
1235,62.48,11.18
1236,62.46,11.18
1237,62.45,11.19
1238,62.44,11.19
1239,62.43,11.2
1240,62.42,11.2
1241,62.42,11.2
1242,62.41,11.2
1243,62.4,11.2
1244,62.4,11.2
1245,62.39,11.2
1246,62.38,11.2
1247,62.38,11.2
1248,62.37,11.2
1249,62.37,11.2
1250,62.36,11.2
1251,62.35,11.21
1252,62.35,11.21
1253,62.35,11.2
1254,62.34,11.2
1255,62.34,11.19
1256,62.34,11.19
1257,62.34,11.18
1258,62.33,11.18
1259,62.33,11.17
1260,62.32,11.17
1261,62.31,11.17
1262,62.3,11.16
1263,62.29,11.16
1264,62.28,11.16
1265,62.27,11.16
1266,62.26,11.16
1267,62.24,11.15
1268,62.23,11.15
1269,62.22,11.15
1270,62.21,11.15
1271,62.2,11.16
1272,62.19,11.16
1273,62.17,11.16
1274,62.16,11.16
1275,62.15,11.17
1276,62.14,11.17
1277,62.12,11.17
1278,62.11,11.18
1279,62.1,11.17
1280,62.09,11.17
1281,62.09,11.17
1282,62.08,11.17
1283,62.07,11.17
1284,62.06,11.17
1285,62.05,11.17
1286,62.05,11.17
1287,62.04,11.17
1288,62.03,11.18
1289,62.02,11.18
1290,62.01,11.18
1291,62.01,11.19
1292,62.0,11.2
1293,61.99,11.21
1294,61.99,11.22
1295,61.98,11.23
1296,61.97,11.24
1297,61.97,11.25
1298,61.96,11.26
1299,61.95,11.27
1300,61.94,11.28
1301,61.94,11.29
1302,61.93,11.3
1303,61.92,11.31
1304,61.91,11.32
1305,61.91,11.34
1306,61.9,11.35
1307,61.89,11.35
1308,61.88,11.36
1309,61.87,11.36
1310,61.86,11.36
1311,61.85,11.36
1312,61.84,11.36
1313,61.83,11.36
1314,61.82,11.36
1315,61.81,11.36
1316,61.8,11.36
1317,61.79,11.36
1318,61.78,11.37
1319,61.77,11.37
1320,61.76,11.37
1321,61.75,11.37
1322,61.74,11.37
1323,61.72,11.36
1324,61.71,11.36
1325,61.7,11.36
1326,61.7,11.35
1327,61.68,11.35
1328,61.67,11.35
1329,61.66,11.34
1330,61.65,11.34
1331,61.64,11.34
1332,61.63,11.34
1333,61.62,11.34
1334,61.61,11.34
1335,61.6,11.33
1336,61.59,11.33
1337,61.58,11.33
1338,61.57,11.33
1339,61.56,11.33
1340,61.55,11.33
1341,61.54,11.33
1342,61.53,11.33
1343,61.52,11.33
1344,61.51,11.33
1345,61.5,11.33
1346,61.49,11.33
1347,61.48,11.33
1348,61.47,11.33
1349,61.46,11.33
1350,61.45,11.33
1351,61.44,11.33
1352,61.43,11.34
1353,61.42,11.34
1354,61.4,11.34
